#,Movie Name,Year of Release,Watch Time,Movie Rating,Description(synopsis),genre,showmax_url
211,Becoming,2020,1h 34m,,"A supernatural thriller about demonic possession. While on a road trip, an evil entity creeps in and takes over Alex's body, leaving his fiancée to learn the disturbing truth.",Thriller,https://www.showmax.com/za/stream/movies/becoming/7639b0e5-235d-3332-b599-fb39aff9f240
212,Becoming Mike Nichols,2016,1h 8m,7.1,"This insightful documentary looks at the portrait of an artist. Theatre director Jack O'Brien sits with the legendary filmmaker, Mike Nichols to discuss his life and body of work.",Documentary,https://www.showmax.com/za/stream/movies/becoming-mike-nichols/888161e1-8529-3b13-9f9c-abd60c1d984c
213,Becoming Mrs. Adams,2022,1h 45m,,"A young lady falls in love with the son of an elite, but she must pass through some processes and the ultimate test before seen fit to marry into the family.",Drama,https://www.showmax.com/za/stream/movies/becoming-mrs.-adams/6741ec79-dd7f-36ec-82ae-dac6bbb53cda
214,Becoming Warren Buffett,2017,1h 24m,7.5,"An intimate and intriguing documentary in the life of one of the world's richest men, Warren Buffett. Follow the evolution of a boy from Nebraska who became a world economic leader.",Documentary,https://www.showmax.com/za/stream/movies/becoming-warren-buffett/ab3369e9-5a10-3d2d-b13b-4badf8a96545
215,Bee,2023,1h 59m,,"Scarlet, an affluent single mother who has sworn off love and marriage, finds herself captivated by her dashing new chauffeur, who also harbors secret affection for her.",Drama,https://www.showmax.com/za/stream/movies/bee/71469c0b-046f-3373-9364-68257e44dfdb
216,Beethoven,1992,1h 23m,5.7,"If you love dogs then you'll enjoy Beethoven, a giant St. Bernard who lives with a doting family. Unfortunately, Beethoven has also attracted the attention of a sinister vet. 1992",Family,https://www.showmax.com/za/stream/movies/beethoven/dc91125a-420c-302b-9a78-5e591047e39d
217,Beethoven's 2nd,1993,1h 24m,5.0,"The adventures of the lovable dog Beethoven continue, in the second instalment of this doggie franchise. Beethoven has to save his baby pups from a group of naughty children.",Family,https://www.showmax.com/za/stream/movies/beethovens-2nd/04fde95b-88f6-3c5d-8b32-a1fba2b9aa89
218,Before The Will,2023,2h 58m,,"Hyman marries his wives when he was poor, but favor smiles on him as he makes unbelievable wealth. Now the entire family will kill themselves to get a pinch of his will.",Drama,https://www.showmax.com/za/stream/movies/before-the-will/1a51aab3-6473-317b-ba5f-395286e1e27a
219,Being John Malkovich,1999,1h 48m,7.7,"A struggling puppeteer discovers a portal that leads into the head of a movie star. When he tells others about his find, they line up to get a glimpse themselves.",Sci-Fi,https://www.showmax.com/za/stream/movies/being-john-malkovich/eb9e6790-8103-33a0-a558-db7e71a2370a
220,Bells,2024,1h 36m,,Ijeoma and Kevwe's marriage reach a breaking point when Ijeoma discovers Kevwe's infidelity and the news of a baby from another woman.,Drama,https://www.showmax.com/za/stream/movies/bells/ded6b34b-c472-3d82-a3d4-d795ce2fdee7
221,Ben 9,13,1h 31m,,A struggling young man receives a lump sum of money from the bank. He goes on a spending spree - but then his anonymous benefactor arrives with a nasty surprise.,Crime,https://www.showmax.com/za/stream/movies/ben-9/33ad484a-3046-31c8-b505-0ad7dca50870
222,Benji's Ordeal,2024,1h 40m,7.3,Benji's life takes a dangerous turn and he does odd jobs for survival and to keep his kids in school without their knowledge. Little did he know what this decision is going to cause.,Drama,https://www.showmax.com/za/stream/movies/benjis-ordeal/1d7ef14d-d0bb-34e6-b9f9-cd4e1579f26e
